Arizona,California,Florida,New York,Texas,Washington,Wisconsin
86032,95134,32927,14618,77062,99353,53005
85256,94089,32605,14031,75035,99338,53097
85747,93555,32317,12019,77059,98074,53044
85286,93527,32312,12309,75022,99354,53017
85045,93730,32424,14226,76633,99203,53122
86025,95742,33514,13214,76092,99021,54169
85641,93720,32259,14174,77345,99352,53012
85284,93619,32955,14625,78733,99337,53092
85226,90740,34448,14221,77094,98029,53597
85296,92251,32309,13413,75860,98607,54482
85938,92242,33875,13066,75028,99111,53072
85249,93611,32347,14001,79014,98823,53045
85602,93626,32311,12027,79323,98586,54115
85212,96064,32798,14052,78118,99022,54313
85629,96130,32571,14450,76365,98052,54113
85083,96101,32583,12196,76638,99016,53029
85297,93252,32976,12186,75025,99223,53153
85120,95630,32024,14472,76250,98506,53089
85546,93921,33543,13850,77836,99026,53046
85298,95327,32064,14032,77836,98349,53217